Name, ,Online,Type,Size,>Address,In/Out,User ID,Linked to
GVL_GATT.fb_AT1K0_GAS_VRC_20.q_xOPN_DO,,,BOOL,1.0,563550.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_30.q_xOPN_DO,,,BOOL,1.0,563654.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_40.q_xOPN_DO,,,BOOL,1.0,563758.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_50.q_xOPN_DO,,,BOOL,1.0,563862.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_60.q_xOPN_DO,,,BOOL,1.0,563966.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_90.q_xOPN_DO,,,BOOL,1.0,564070.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_100.q_xOPN_DO,,,BOOL,1.0,564174.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_110.q_xOPN_DO,,,BOOL,1.0,564278.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_120.q_xOPN_DO,,,BOOL,1.0,564382.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_130.q_xOPN_DO,,,BOOL,1.0,564486.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VRC_140.q_xOPN_DO,,,BOOL,1.0,564590.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_10.q_xHV_DIS,,,BOOL,1.0,565910.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_20.q_xHV_DIS,,,BOOL,1.0,566030.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_30.q_xHV_DIS,,,BOOL,1.0,566150.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_40.q_xHV_DIS,,,BOOL,1.0,566270.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_50.q_xHV_DIS,,,BOOL,1.0,566390.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_60.q_xHV_DIS,,,BOOL,1.0,566510.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_80.q_xHV_DIS,,,BOOL,1.0,566630.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_90.q_xHV_DIS,,,BOOL,1.0,566750.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_100.q_xHV_DIS,,,BOOL,1.0,566870.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_110.q_xHV_DIS,,,BOOL,1.0,566990.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_120.q_xHV_DIS,,,BOOL,1.0,567110.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_130.q_xHV_DIS,,,BOOL,1.0,567230.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_GCC_140.q_xHV_DIS,,,BOOL,1.0,567350.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.q_xMPStart,,,BOOL,1.0,567472.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.q_xBPStart,,,BOOL,1.0,567473.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.q_xMPStart,,,BOOL,1.0,567600.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.q_xBPStart,,,BOOL,1.0,567601.0,Output,0,
GVL_GATT.fb_AT1K0_GAS_VVC_70.q_xOPN_DO,,,BOOL,1.0,567700.0,Output,0,
