Name, ,Online,Type,Size,>Address,In/Out,User ID,Linked to
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_xNCFault,,,BOOL,1.0,562795.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_xAtSpd,,,BOOL,1.0,562796.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_iRawSpeed,,,INT,2.0,562798.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_xAlarm,,,BOOL,1.0,562800.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_iTempMon,,,INT,2.0,562802.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_110.i_iCurrentMon,,,INT,2.0,562804.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xDecel,,,BOOL,1.0,562968.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xAccel,,,BOOL,1.0,562969.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xRotate,,,BOOL,1.0,562970.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xNCFault,,,BOOL,1.0,562971.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xAtSpd,,,BOOL,1.0,562972.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_iRawSpeed,,,INT,2.0,562974.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_xAlarm,,,BOOL,1.0,562976.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_iTempMon,,,INT,2.0,562978.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_120.i_iCurrentMon,,,INT,2.0,562980.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xDecel,,,BOOL,1.0,563144.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xAccel,,,BOOL,1.0,563145.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xRotate,,,BOOL,1.0,563146.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xNCFault,,,BOOL,1.0,563147.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xAtSpd,,,BOOL,1.0,563148.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_iRawSpeed,,,INT,2.0,563150.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_xAlarm,,,BOOL,1.0,563152.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_iTempMon,,,INT,2.0,563154.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_130.i_iCurrentMon,,,INT,2.0,563156.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xDecel,,,BOOL,1.0,563320.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xAccel,,,BOOL,1.0,563321.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xRotate,,,BOOL,1.0,563322.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xNCFault,,,BOOL,1.0,563323.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xAtSpd,,,BOOL,1.0,563324.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_iRawSpeed,,,INT,2.0,563326.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_xAlarm,,,BOOL,1.0,563328.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_iTempMon,,,INT,2.0,563330.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PTM_140.i_iCurrentMon,,,INT,2.0,563332.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_10.i_xOpnLS,,,BOOL,1.0,563444.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_10.i_xClsLS,,,BOOL,1.0,563445.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_20.i_xOpnLS,,,BOOL,1.0,563548.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_20.i_xClsLS,,,BOOL,1.0,563549.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_30.i_xOpnLS,,,BOOL,1.0,563652.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_30.i_xClsLS,,,BOOL,1.0,563653.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_40.i_xOpnLS,,,BOOL,1.0,563756.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_40.i_xClsLS,,,BOOL,1.0,563757.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_50.i_xOpnLS,,,BOOL,1.0,563860.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_50.i_xClsLS,,,BOOL,1.0,563861.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_60.i_xOpnLS,,,BOOL,1.0,563964.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_60.i_xClsLS,,,BOOL,1.0,563965.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_90.i_xOpnLS,,,BOOL,1.0,564068.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_90.i_xClsLS,,,BOOL,1.0,564069.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_100.i_xOpnLS,,,BOOL,1.0,564172.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_100.i_xClsLS,,,BOOL,1.0,564173.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_110.i_xOpnLS,,,BOOL,1.0,564276.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_110.i_xClsLS,,,BOOL,1.0,564277.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_120.i_xOpnLS,,,BOOL,1.0,564380.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_120.i_xClsLS,,,BOOL,1.0,564381.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_130.i_xOpnLS,,,BOOL,1.0,564484.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_130.i_xClsLS,,,BOOL,1.0,564485.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_140.i_xOpnLS,,,BOOL,1.0,564588.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_VRC_140.i_xClsLS,,,BOOL,1.0,564589.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_10.i_iPRESS_R,,,INT,2.0,564664.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_20.i_iPRESS_R,,,INT,2.0,564744.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_11.i_iPRESS_R,,,INT,2.0,564824.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_30.i_iPRESS_R,,,INT,2.0,564904.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_40.i_iPRESS_R,,,INT,2.0,564984.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_50.i_iPRESS_R,,,INT,2.0,565064.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_60.i_iPRESS_R,,,INT,2.0,565144.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_61.i_iPRESS_R,,,INT,2.0,565224.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_80.i_iPRESS_R,,,INT,2.0,565304.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_90.i_iPRESS_R,,,INT,2.0,565384.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_100.i_iPRESS_R,,,INT,2.0,565464.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_110.i_iPRESS_R,,,INT,2.0,565544.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_120.i_iPRESS_R,,,INT,2.0,565624.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_130.i_iPRESS_R,,,INT,2.0,565704.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GPI_140.i_iPRESS_R,,,INT,2.0,565784.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_10.i_iPRESS_R,,,INT,2.0,565908.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_20.i_iPRESS_R,,,INT,2.0,566028.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_30.i_iPRESS_R,,,INT,2.0,566148.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_40.i_iPRESS_R,,,INT,2.0,566268.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_50.i_iPRESS_R,,,INT,2.0,566388.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_60.i_iPRESS_R,,,INT,2.0,566508.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_80.i_iPRESS_R,,,INT,2.0,566628.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_90.i_iPRESS_R,,,INT,2.0,566748.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_100.i_iPRESS_R,,,INT,2.0,566868.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_110.i_iPRESS_R,,,INT,2.0,566988.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_120.i_iPRESS_R,,,INT,2.0,567108.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_130.i_iPRESS_R,,,INT,2.0,567228.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_GCC_140.i_iPRESS_R,,,INT,2.0,567348.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.i_xMPStatus,,,BOOL,1.0,567474.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.i_xBPStatus,,,BOOL,1.0,567475.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.i_xWarning,,,BOOL,1.0,567476.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.i_xAlarm,,,BOOL,1.0,567477.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_01.i_xRemote,,,BOOL,1.0,567478.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.i_xMPStatus,,,BOOL,1.0,567602.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.i_xBPStatus,,,BOOL,1.0,567603.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.i_xWarning,,,BOOL,1.0,567604.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.i_xAlarm,,,BOOL,1.0,567605.0,Input,0,
GVL_GATT.fb_AT1K0_GAS_PFM_60.i_xRemote,,,BOOL,1.0,567606.0,Input,0,
